used vram - vram usage of texture + vertex data
fps - frames per second
pps - polys per second
ppf - polys fer frame
overdraw - effective overdraw per frame
strst - IDirect3DDevice9::SetRenderState per frame
sttxstgst - IDirect3DDevice9::SetTextureStageState per frame
ppc - polys per DrawPrimitve
sttx - IDirect3DDevice9::SetTexture per frame
stvp - IDirect3DDevice9::SetViewport per frame
svs - IDirect3DDevice9::SetVertexShader per frame
sss - IDirect3DDevice9::SetStreamSource per frame

<used vram>,<fps>,<pps>,<ppf>,<overdraw>,<strst>,<sttxstgst>,<ppc>,<sttx>,<stvp>,<svs>,<sss>
1048576,59,35368,599,0,190.728821,5.000000,2.727960,181.728821,0,0.000000,0.000000
1048576,59,35406,600,0,189.050842,5.000000,2.751904,180.050842,0,0.000000,0.000000
1048576,59,35286,598,0,189.033905,5.000000,2.742790,180.033905,0,0.000000,0.000000
1048576,59,35664,604,0,190.237289,5.000000,2.756957,181.237289,0,0.000000,0.000000
1048576,59,35542,602,0,193.203384,5.000000,2.710854,184.203384,0,0.000000,0.000000
1048576,59,35470,601,0,193.593216,5.000000,2.700624,184.593216,0,0.000000,0.000000
1048576,59,35294,598,0,196.101700,5.000000,2.657280,187.101700,0,0.000000,0.000000
1048576,59,35640,604,0,193.033905,5.000000,2.720403,184.033905,0,0.000000,0.000000
1048576,59,35116,595,0,189.593216,5.000000,2.722593,180.593216,0,0.000000,0.000000
1048576,59,34264,580,0,188.372879,5.000000,2.671449,179.372879,0,0.000000,0.000000
1048576,58,34556,595,0,189.896545,5.000000,2.721588,180.896545,0,0.000000,0.000000
1048576,58,34688,598,0,191.034485,5.000000,2.717856,182.034485,0,0.000000,0.000000
1048576,59,36104,611,0,191.966095,5.000000,2.769136,182.966095,0,0.000000,0.000000
1048576,59,34220,580,0,191.000000,5.000000,2.636161,182.000000,0,0.000000,0.000000
1048576,58,35082,604,0,193.431030,5.000000,2.719113,184.431030,0,0.000000,0.000000
1048576,59,35940,609,0,193.576279,5.000000,2.736618,184.576279,0,0.000000,0.000000
1048576,58,35180,606,0,193.275864,5.000000,2.728612,184.275864,0,0.000000,0.000000
1048576,59,35538,602,0,191.169495,5.000000,2.735586,182.169495,0,0.000000,0.000000
1048576,59,34882,591,0,185.610168,5.000000,2.754639,176.610168,0,0.000000,0.000000
1048576,58,34070,587,0,186.706894,5.000000,2.722986,177.706894,0,0.000000,0.000000
1048576,59,34544,585,0,186.745758,5.000000,2.713590,177.745758,0,0.000000,0.000000
1048576,58,33636,579,0,184.965515,5.000000,2.710176,175.965515,0,0.000000,0.000000
1048576,59,34534,585,0,184.661011,5.000000,2.739272,175.661011,0,0.000000,0.000000
1048576,59,34688,587,0,187.966095,5.000000,2.709577,178.966095,0,0.000000,0.000000
1048576,58,34988,603,0,191.620697,5.000000,2.734078,182.620697,0,0.000000,0.000000
1048576,58,35380,610,0,192.000000,5.000000,2.759966,183.000000,0,0.000000,0.000000
1048576,58,35042,604,0,193.086212,5.000000,2.720230,184.086212,0,0.000000,0.000000
1048576,59,34902,591,0,187.779663,5.000000,2.728637,178.779663,0,0.000000,0.000000
1048576,59,34220,580,0,185.000000,5.000000,2.710066,176.000000,0,0.000000,0.000000
1048576,59,34692,588,0,185.000000,5.000000,2.747446,176.000000,0,0.000000,0.000000
1048576,59,35086,594,0,186.338989,5.000000,2.761373,177.338989,0,0.000000,0.000000
1048576,58,34388,592,0,186.448273,5.000000,2.751700,177.448273,0,0.000000,0.000000
1048576,59,34978,592,0,185.423721,5.000000,2.764622,176.423721,0,0.000000,0.000000
1048576,59,34670,587,0,186.813553,5.000000,2.722632,177.813553,0,0.000000,0.000000
1048576,59,34446,583,0,186.915253,5.000000,2.703768,177.915253,0,0.000000,0.000000
1048576,58,34270,590,0,189.431030,5.000000,2.704814,180.431030,0,0.000000,0.000000
1048576,59,35030,593,0,189.864410,5.000000,2.712560,180.864410,0,0.000000,0.000000
1048576,58,34766,599,0,190.706894,5.000000,2.728029,181.706894,0,0.000000,0.000000
1048576,59,35188,596,0,190.203384,5.000000,2.720582,181.203384,0,0.000000,0.000000
1048576,58,34652,597,0,189.724136,5.000000,2.731300,180.724136,0,0.000000,0.000000
1048576,59,34692,588,0,188.000000,5.000000,2.709466,179.000000,0,0.000000,0.000000
1048576,58,35406,610,0,194.224136,5.000000,2.734476,185.224136,0,0.000000,0.000000
1048576,58,35092,605,0,195.517242,5.000000,2.694617,186.517242,0,0.000000,0.000000
1048576,58,35554,613,0,195.500000,5.000000,2.730303,186.500000,0,0.000000,0.000000
1048576,58,34740,598,0,195.482758,5.000000,2.667998,186.482758,0,0.000000,0.000000
1048576,58,35088,604,0,195.482758,5.000000,2.694724,186.482758,0,0.000000,0.000000
1048576,58,35784,616,0,195.482758,5.000000,2.748176,186.482758,0,0.000000,0.000000
1048576,22,13214,600,0,195.318176,5.000000,2.677067,186.318176,0,0.000000,0.000000
1048576,60,29640,494,0,146.000000,5.000000,2.822588,137.000000,0,0.000000,0.000000
1048576,60,30486,508,0,146.050003,5.000000,2.902323,137.050003,0,0.000000,0.000000
1048576,60,32130,535,0,154.750000,5.000000,2.914021,145.750000,0,0.000000,0.000000
1048576,59,38590,654,0,222.033905,5.000000,2.605320,213.033905,0,0.000000,0.000000
1048576,58,42108,726,0,253.000000,5.000000,2.574311,244.000000,0,0.000000,0.000000
1048576,58,41460,714,0,252.413788,5.000000,2.539974,243.413788,0,0.000000,0.000000
1048576,59,41300,700,0,252.000000,5.000000,2.490953,243.000000,0,0.000000,0.000000
1048576,58,41296,712,0,252.000000,5.000000,2.533652,243.000000,0,0.000000,0.000000
1048576,58,40772,702,0,251.482758,5.000000,2.506116,242.482758,0,0.000000,0.000000
1048576,59,41654,706,0,251.000000,5.000000,2.521276,242.000000,0,0.000000,0.000000
1048576,58,40948,706,0,251.000000,5.000000,2.521273,242.000000,0,0.000000,0.000000
1048576,58,41656,718,0,250.103455,5.000000,2.573105,241.103455,0,0.000000,0.000000
1048576,58,40564,699,0,247.689651,5.000000,2.527509,238.689651,0,0.000000,0.000000
1048576,58,41436,714,0,247.206894,5.000000,2.586355,238.206894,0,0.000000,0.000000
1048576,58,40210,693,0,249.637924,5.000000,2.487935,240.637924,0,0.000000,0.000000
1048576,58,41296,712,0,249.000000,5.000000,2.560992,240.000000,0,0.000000,0.000000
1048576,58,40502,698,0,249.155167,5.000000,2.510351,240.155167,0,0.000000,0.000000
1048576,58,41666,718,0,247.189651,5.000000,2.600874,238.189651,0,0.000000,0.000000
1048576,58,40398,696,0,245.258621,5.000000,2.539477,236.258621,0,0.000000,0.000000
1048576,58,41876,722,0,248.000000,5.000000,2.606336,239.000000,0,0.000000,0.000000
1048576,58,40578,699,0,247.810349,5.000000,2.527280,238.810349,0,0.000000,0.000000
1048576,58,41412,714,0,247.000000,5.000000,2.586795,238.000000,0,0.000000,0.000000
1048576,58,39440,680,0,247.000000,5.000000,2.463614,238.000000,0,0.000000,0.000000
1048576,58,41516,715,0,246.896545,5.000000,2.594264,237.896545,0,0.000000,0.000000
1048576,58,39672,684,0,246.000000,5.000000,2.487117,237.000000,0,0.000000,0.000000
1048576,58,41180,710,0,246.000000,5.000000,2.581656,237.000000,0,0.000000,0.000000
1048576,58,40018,689,0,245.982758,5.000000,2.508965,236.982758,0,0.000000,0.000000
1048576,58,41296,712,0,245.000000,5.000000,2.598377,236.000000,0,0.000000,0.000000
1048576,58,39836,686,0,243.413788,5.000000,2.521106,234.413788,0,0.000000,0.000000
